PacketCounter;SampleTimeFine;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;StatusWord;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw;Latitude;Longitude;Altitude;Vel_X;Vel_Y;Vel_Z;tv_sec;tv_usec
138645;483984.919;483967919;2016;9;30;14;26;7.919;15;0;-0.15;0.166;9.725;-0.192391;-0.220997;0.037882;0;0;0;-0.834;-0.774;-22.476;48.418072;-4.473293;88.568;-0.008;0.005;-0.031;;
138665;483984.939;483967939;2016;9;30;14;26;7.939;15;0;-0.15;0.162;9.705;-0.240873;-0.174481;0.027582;0;0;0;-0.834;-0.774;-22.475;48.418072;-4.473293;88.567;-0.008;0.005;-0.032;;
138685;483984.96;483967960;2016;9;30;14;26;7.96;15;0;-0.156;0.176;9.725;-0.217842;-0.2139;-0.00855;0;0;0;-0.834;-0.774;-22.476;48.418072;-4.473293;88.567;-0.008;0.005;-0.032;;
138705;483984.979;483967979;2016;9;30;14;26;7.979;15;0;-0.141;0.159;9.711;-0.198136;-0.187819;0.063483;0;0;0;-0.833;-0.774;-22.476;48.418072;-4.473293;88.566;-0.008;0.005;-0.032;;
138725;483985;483968000;2016;9;30;14;26;8;15;0;-0.161;0.197;9.71;-0.237266;-0.237211;0.030633;0;0;0;-0.833;-0.774;-22.475;48.418072;-4.473293;88.565;-0.008;0.005;-0.033;;
138745;483985.02;483968020;2016;9;30;14;26;8.02;15;0;-0.159;0.17;9.684;-0.212861;-0.249728;0.028857;0;0;0;-0.834;-0.774;-22.476;48.418072;-4.473293;88.565;-0.009;0.005;-0.033;;
138765;483985.039;483968039;2016;9;30;14;26;8.039;15;0;-0.174;0.164;9.732;-0.243157;-0.242065;0.027101;0;0;0;-0.833;-0.774;-22.475;48.418072;-4.473293;88.564;-0.009;0.005;-0.034;;
138785;483985.06;483968060;2016;9;30;14;26;8.06;15;0;-0.165;0.163;9.717;-0.235134;-0.249332;0.038753;0;0;0;-0.834;-0.775;-22.476;48.418072;-4.473293;88.564;-0.009;0.004;-0.034;;
138805;483985.08;483968080;2016;9;30;14;26;8.08;15;0;-0.169;0.158;9.704;-0.233028;-0.223622;-0.000385;0;0;0;-0.834;-0.774;-22.475;48.418072;-4.473293;88.564;-0.009;0.004;-0.034;;
138825;483985.099;483968099;2016;9;30;14;26;8.099;15;0;-0.141;0.164;9.725;-0.267335;-0.175492;0.002251;0;0;0;-0.834;-0.774;-22.476;48.418072;-4.473293;88.563;-0.009;0.004;-0.034;;
138845;483985.12;483968120;2016;9;30;14;26;8.12;15;0;-0.156;0.164;9.709;-0.236396;-0.184954;0.050806;0;0;0;-0.834;-0.774;-22.475;48.418072;-4.473293;88.562;-0.009;0.004;-0.035;;
138865;483985.139;483968139;2016;9;30;14;26;8.139;15;0;-0.162;0.162;9.71;-0.243059;-0.179684;-0.043293;0;0;0;-0.833;-0.775;-22.477;48.418072;-4.473293;88.562;-0.009;0.004;-0.035;;
138885;483985.159;483968159;2016;9;30;14;26;8.159;15;0;-0.171;0.171;9.72;-0.189314;-0.272508;0.051419;0;0;0;-0.834;-0.774;-22.476;48.418072;-4.473293;88.561;-0.009;0.004;-0.035;;
138905;483985.18;483968180;2016;9;30;14;26;8.18;15;0;-0.161;0.187;9.721;-0.220687;-0.228405;0.027398;0;0;0;-0.833;-0.774;-22.475;48.418072;-4.473293;88.56;-0.01;0.004;-0.036;;
138925;483985.199;483968199;2016;9;30;14;26;8.199;15;0;-0.156;0.18;9.713;-0.236486;-0.22468;0.02964;0;0;0;-0.833;-0.773;-22.475;48.418072;-4.473293;88.56;-0.01;0.004;-0.036;;
138945;483985.219;483968219;2016;9;30;14;26;8.219;15;0;-0.151;0.168;9.724;-0.175029;-0.244347;0.031936;0;0;0;-0.833;-0.774;-22.475;48.418072;-4.473293;88.559;-0.01;0.004;-0.036;;
138965;483985.24;483968240;2016;9;30;14;26;8.24;15;0;-0.158;0.156;9.729;-0.204145;-0.229544;-0.013987;0;0;0;-0.833;-0.774;-22.475;48.418072;-4.473293;88.558;-0.01;0.004;-0.037;;
138985;483985.259;483968259;2016;9;30;14;26;8.259;15;0;-0.146;0.155;9.713;-0.295761;-0.192826;0.058129;0;0;0;-0.832;-0.775;-22.475;48.418072;-4.473293;88.568;-0.01;0.004;-0.034;;
139005;483985.28;483968280;2016;9;30;14;26;8.28;15;0;-0.142;0.17;9.711;-0.236972;-0.206503;-0.011607;0;0;0;-0.831;-0.774;-22.473;48.418072;-4.473293;88.579;-0.01;0.005;-0.032;;
139025;483985.3;483968300;2016;9;30;14;26;8.3;15;0;-0.16;0.176;9.722;-0.27992;-0.221127;0.055093;0;0;0;-0.831;-0.774;-22.473;48.418072;-4.473293;88.578;-0.01;0.005;-0.032;;
139045;483985.319;483968319;2016;9;30;14;26;8.319;15;0;-0.15;0.168;9.722;-0.191452;-0.211532;0.076494;0;0;0;-0.831;-0.774;-22.473;48.418072;-4.473293;88.577;-0.01;0.005;-0.033;;
139065;483985.34;483968340;2016;9;30;14;26;8.34;15;0;-0.157;0.17;9.704;-0.215349;-0.22008;0.005646;0;0;0;-0.831;-0.774;-22.472;48.418072;-4.473293;88.576;-0.01;0.005;-0.033;;
139085;483985.36;483968360;2016;9;30;14;26;8.36;15;0;-0.165;0.163;9.739;-0.20497;-0.263001;-0.031039;0;0;0;-0.831;-0.773;-22.473;48.418072;-4.473293;88.576;-0.011;0.005;-0.033;;
139105;483985.379;483968379;2016;9;30;14;26;8.379;15;0;-0.163;0.17;9.69;-0.222247;-0.205407;0.008181;0;0;0;-0.83;-0.773;-22.475;48.418072;-4.473293;88.575;-0.011;0.005;-0.034;;
139125;483985.4;483968400;2016;9;30;14;26;8.4;15;0;-0.146;0.186;9.71;-0.235603;-0.223285;0.020352;0;0;0;-0.83;-0.772;-22.475;48.418072;-4.473293;88.574;-0.011;0.005;-0.034;;
139145;483985.419;483968419;2016;9;30;14;26;8.419;15;0;-0.163;0.168;9.725;-0.197742;-0.229585;0.028162;0;0;0;-0.831;-0.771;-22.475;48.418072;-4.473293;88.574;-0.011;0.005;-0.035;;
139165;483985.439;483968439;2016;9;30;14;26;8.439;15;0;-0.154;0.184;9.71;-0.261364;-0.261559;-0.003505;0;0;0;-0.83;-0.771;-22.476;48.418072;-4.473293;88.573;-0.011;0.006;-0.035;;
139185;483985.46;483968460;2016;9;30;14;26;8.46;15;0;-0.151;0.151;9.716;-0.241775;-0.253172;-0.027339;0;0;0;-0.831;-0.772;-22.476;48.418072;-4.473293;88.573;-0.01;0.005;-0.035;;
139205;483985.479;483968479;2016;9;30;14;26;8.479;15;0;-0.149;0.179;9.73;-0.235592;-0.186686;-0.009597;0;0;0;-0.83;-0.773;-22.478;48.418072;-4.473293;88.573;-0.009;0.005;-0.034;;
139225;483985.5;483968500;2016;9;30;14;26;8.5;15;0;-0.141;0.162;9.703;-0.234974;-0.210029;0.045276;0;0;0;-0.83;-0.772;-22.478;48.418072;-4.473293;88.573;-0.01;0.005;-0.035;;
139245;483985.52;483968520;2016;9;30;14;26;8.52;15;0;-0.151;0.175;9.738;-0.217283;-0.212041;0.001271;0;0;0;-0.83;-0.772;-22.477;48.418072;-4.473293;88.572;-0.01;0.005;-0.035;;
139265;483985.539;483968539;2016;9;30;14;26;8.539;15;0;-0.145;0.161;9.722;-0.236005;-0.234389;-0.030106;0;0;0;-0.83;-0.772;-22.48;48.418072;-4.473293;88.571;-0.01;0.005;-0.036;;
139285;483985.56;483968560;2016;9;30;14;26;8.56;15;0;-0.161;0.168;9.693;-0.20378;-0.229337;0.030445;0;0;0;-0.83;-0.772;-22.48;48.418072;-4.473293;88.571;-0.01;0.005;-0.036;;
139305;483985.58;483968580;2016;9;30;14;26;8.58;15;0;-0.159;0.17;9.732;-0.221458;-0.212454;0.036601;0;0;0;-0.83;-0.771;-22.482;48.418072;-4.473293;88.57;-0.01;0.005;-0.036;;
139325;483985.599;483968599;2016;9;30;14;26;8.599;15;0;-0.16;0.173;9.714;-0.223863;-0.221199;0.042578;0;0;0;-0.83;-0.771;-22.482;48.418072;-4.473293;88.569;-0.01;0.006;-0.037;;
139345;483985.62;483968620;2016;9;30;14;26;8.62;15;0;-0.142;0.155;9.706;-0.241608;-0.21105;0.050783;0;0;0;-0.83;-0.771;-22.481;48.418072;-4.473293;88.568;-0.011;0.006;-0.037;;
139365;483985.639;483968639;2016;9;30;14;26;8.639;15;0;-0.156;0.172;9.725;-0.237975;-0.221502;0.010636;0;0;0;-0.829;-0.771;-22.483;48.418072;-4.473293;88.568;-0.011;0.006;-0.038;;
139385;483985.659;483968659;2016;9;30;14;26;8.659;15;0;-0.16;0.169;9.715;-0.240136;-0.251554;0.014061;0;0;0;-0.831;-0.773;-22.484;48.418072;-4.473293;88.569;-0.009;0.005;-0.037;;
139405;483985.68;483968680;2016;9;30;14;26;8.68;15;0;-0.148;0.156;9.694;-0.193012;-0.216512;0.036473;0;0;0;-0.832;-0.773;-22.486;48.418072;-4.473293;88.57;-0.008;0.003;-0.036;;
139425;483985.699;483968699;2016;9;30;14;26;8.699;15;0;-0.147;0.171;9.693;-0.246979;-0.243109;-0.021371;0;0;0;-0.831;-0.773;-22.486;48.418072;-4.473293;88.569;-0.008;0.003;-0.036;;
139445;483985.719;483968719;2016;9;30;14;26;8.719;15;0;-0.158;0.166;9.712;-0.181924;-0.252157;-0.017341;0;0;0;-0.831;-0.773;-22.486;48.418072;-4.473293;88.568;-0.009;0.004;-0.037;;
139465;483985.74;483968740;2016;9;30;14;26;8.74;15;0;-0.151;0.154;9.709;-0.213373;-0.27408;-0.015414;0;0;0;-0.831;-0.772;-22.486;48.418072;-4.473293;88.568;-0.009;0.003;-0.037;;
139485;483985.759;483968759;2016;9;30;14;26;8.759;15;0;-0.145;0.183;9.717;-0.246011;-0.246551;0.019756;0;0;0;-0.831;-0.772;-22.486;48.418072;-4.473293;88.567;-0.009;0.003;-0.038;;
139505;483985.78;483968780;2016;9;30;14;26;8.78;15;0;-0.168;0.159;9.723;-0.203316;-0.24118;0.020396;0;0;0;-0.831;-0.771;-22.486;48.418072;-4.473293;88.566;-0.009;0.004;-0.038;;
139525;483985.8;483968800;2016;9;30;14;26;8.8;15;0;-0.157;0.173;9.721;-0.221505;-0.217166;0.04328;0;0;0;-0.831;-0.771;-22.486;48.418072;-4.473293;88.565;-0.01;0.004;-0.039;;
139545;483985.819;483968819;2016;9;30;14;26;8.819;15;0;-0.157;0.178;9.728;-0.2186;-0.196956;0.007126;0;0;0;-0.831;-0.772;-22.486;48.418072;-4.473293;88.565;-0.01;0.004;-0.039;;
139565;483985.84;483968840;2016;9;30;14;26;8.84;15;0;-0.165;0.173;9.709;-0.210308;-0.18643;0.033796;0;0;0;-0.831;-0.772;-22.486;48.418072;-4.473293;88.564;-0.01;0.004;-0.039;;
139585;483985.86;483968860;2016;9;30;14;26;8.86;15;0;-0.138;0.147;9.726;-0.240984;-0.232254;0.064895;0;0;0;-0.828;-0.771;-22.486;48.418072;-4.473293;88.569;-0.01;0.006;-0.036;;
139605;483985.879;483968879;2016;9;30;14;26;8.879;15;0;-0.137;0.163;9.723;-0.237782;-0.213171;0.042125;0;0;0;-0.828;-0.77;-22.487;48.418072;-4.473293;88.575;-0.011;0.008;-0.032;;
139625;483985.9;483968900;2016;9;30;14;26;8.9;15;0;-0.148;0.182;9.731;-0.25011;-0.215749;-0.018284;0;0;0;-0.827;-0.77;-22.487;48.418072;-4.473293;88.574;-0.011;0.008;-0.032;;
139645;483985.919;483968919;2016;9;30;14;26;8.919;15;0;-0.153;0.169;9.732;-0.245584;-0.207807;0.019221;0;0;0;-0.827;-0.77;-22.488;48.418072;-4.473293;88.573;-0.011;0.009;-0.032;;
139665;483985.939;483968939;2016;9;30;14;26;8.939;15;0;-0.15;0.183;9.719;-0.238662;-0.175975;-0.041114;0;0;0;-0.827;-0.77;-22.489;48.418072;-4.473293;88.573;-0.011;0.009;-0.033;;
139685;483985.96;483968960;2016;9;30;14;26;8.96;15;0;-0.146;0.152;9.693;-0.184874;-0.237535;-0.01367;0;0;0;-0.827;-0.77;-22.489;48.418072;-4.473293;88.572;-0.011;0.009;-0.033;;
139705;483985.979;483968979;2016;9;30;14;26;8.979;15;0;-0.142;0.153;9.708;-0.207425;-0.269375;0.008571;0;0;0;-0.826;-0.769;-22.49;48.418072;-4.473293;88.571;-0.011;0.009;-0.034;;
139725;483986;483969000;2016;9;30;14;26;9;15;0;-0.157;0.168;9.73;-0.198021;-0.185006;-0.024745;0;0;0;-0.826;-0.769;-22.49;48.418072;-4.473293;88.57;-0.011;0.009;-0.034;;
139745;483986.02;483969020;2016;9;30;14;26;9.02;15;0;-0.159;0.155;9.704;-0.250869;-0.209371;0.031043;0;0;0;-0.825;-0.769;-22.491;48.418072;-4.473293;88.57;-0.011;0.009;-0.035;;
139765;483986.039;483969039;2016;9;30;14;26;9.039;15;0;-0.139;0.171;9.72;-0.219006;-0.258846;-0.007848;0;0;0;-0.825;-0.768;-22.49;48.418072;-4.473293;88.569;-0.011;0.009;-0.035;;
139785;483986.06;483969060;2016;9;30;14;26;9.06;15;0;-0.141;0.157;9.732;-0.1872;-0.199363;0.01267;0;0;0;-0.829;-0.771;-22.491;48.418072;-4.473293;88.566;-0.01;0.006;-0.037;;
139805;483986.08;483969080;2016;9;30;14;26;9.08;15;0;-0.169;0.184;9.706;-0.180767;-0.266645;0.05159;0;0;0;-0.829;-0.771;-22.49;48.418072;-4.473293;88.562;-0.008;0.004;-0.039;;
139825;483986.099;483969099;2016;9;30;14;26;9.099;15;0;-0.157;0.161;9.721;-0.240438;-0.258596;0.010924;0;0;0;-0.829;-0.771;-22.49;48.418072;-4.473293;88.561;-0.008;0.004;-0.04;;
139845;483986.12;483969120;2016;9;30;14;26;9.12;15;0;-0.154;0.173;9.697;-0.252794;-0.19962;0.010788;0;0;0;-0.828;-0.771;-22.49;48.418072;-4.473293;88.561;-0.008;0.004;-0.04;;
139865;483986.139;483969139;2016;9;30;14;26;9.139;15;0;-0.144;0.153;9.71;-0.227578;-0.226087;0.067873;0;0;0;-0.828;-0.771;-22.492;48.418072;-4.473293;88.56;-0.008;0.004;-0.041;;
139885;483986.159;483969159;2016;9;30;14;26;9.159;15;0;-0.16;0.16;9.718;-0.209581;-0.222874;0.023583;0;0;0;-0.828;-0.771;-22.492;48.418072;-4.473293;88.559;-0.009;0.005;-0.041;;
139905;483986.18;483969180;2016;9;30;14;26;9.18;15;0;-0.143;0.165;9.727;-0.268208;-0.148806;0.024577;0;0;0;-0.827;-0.771;-22.491;48.418072;-4.473293;88.558;-0.009;0.005;-0.041;;
139925;483986.199;483969199;2016;9;30;14;26;9.199;15;0;-0.155;0.149;9.698;-0.240916;-0.213533;-0.006205;0;0;0;-0.827;-0.771;-22.492;48.418072;-4.473293;88.558;-0.009;0.004;-0.042;;
139945;483986.219;483969219;2016;9;30;14;26;9.219;15;0;-0.152;0.177;9.717;-0.255089;-0.195603;0.043145;0;0;0;-0.827;-0.772;-22.492;48.418072;-4.473293;88.557;-0.009;0.005;-0.042;;
139965;483986.24;483969240;2016;9;30;14;26;9.24;15;0;-0.159;0.171;9.736;-0.19924;-0.196002;0.016064;0;0;0;-0.827;-0.771;-22.494;48.418072;-4.473293;88.556;-0.009;0.005;-0.043;;
139985;483986.259;483969259;2016;9;30;14;26;9.259;15;0;-0.158;0.155;9.709;-0.199787;-0.217883;-0.035493;0;0;0;-0.828;-0.772;-22.494;48.418072;-4.473293;88.561;-0.009;0.005;-0.042;;
140005;483986.28;483969280;2016;9;30;14;26;9.28;15;0;-0.176;0.191;9.712;-0.256555;-0.239023;-0.035567;0;0;0;-0.827;-0.772;-22.494;48.418072;-4.473293;88.567;-0.009;0.005;-0.041;;
140025;483986.3;483969300;2016;9;30;14;26;9.3;15;0;-0.163;0.168;9.692;-0.208668;-0.1893;0.04378;0;0;0;-0.827;-0.772;-22.494;48.418072;-4.473293;88.566;-0.009;0.005;-0.042;;
140045;483986.319;483969319;2016;9;30;14;26;9.319;15;0;-0.149;0.161;9.706;-0.226833;-0.105653;0.010572;0;0;0;-0.827;-0.773;-22.494;48.418072;-4.473293;88.565;-0.009;0.005;-0.042;;
140065;483986.34;483969340;2016;9;30;14;26;9.34;15;0;-0.167;0.161;9.735;-0.182007;-0.210995;-0.019455;0;0;0;-0.827;-0.773;-22.496;48.418072;-4.473293;88.564;-0.009;0.005;-0.043;;
