49547.000000;48.418160;-4.472030;147.500000;
49548.000000;48.418160;-4.472030;148.300000;
49549.000000;48.418160;-4.472030;149.000000;
49550.000000;48.418162;-4.472030;149.700000;
49551.000000;48.418162;-4.472030;150.300000;
49552.000000;48.418162;-4.472030;150.900000;
49553.000000;48.418162;-4.472028;151.500000;
49554.000000;48.418160;-4.472028;152.000000;
49555.000000;48.418160;-4.472028;152.600000;
49556.000000;48.418160;-4.472027;153.100000;
49557.000000;48.418158;-4.472027;153.700000;
49558.000000;48.418158;-4.472027;154.200000;
49559.000000;48.418158;-4.472025;154.600000;
49560.000000;48.418158;-4.472025;155.100000;
49561.000000;48.418160;-4.472025;155.500000;
49562.000000;48.418158;-4.472023;156.000000;
49563.000000;48.418158;-4.472023;156.400000;
49564.000000;48.418158;-4.472023;156.800000;
49565.000000;48.418158;-4.472022;157.200000;
49566.000000;48.418170;-4.472027;157.200000;
49567.000000;48.418168;-4.472027;157.200000;
49568.000000;48.418178;-4.472030;156.900000;
49569.000000;48.418178;-4.472030;156.700000;
49570.000000;48.418175;-4.472028;156.500000;
49571.000000;48.418173;-4.472028;156.500000;
49572.000000;48.418172;-4.472028;156.500000;
49573.000000;48.418170;-4.472028;156.600000;
49574.000000;48.418170;-4.472027;156.800000;
49575.000000;48.418168;-4.472027;157.000000;
49576.000000;48.418168;-4.472027;157.200000;
49577.000000;48.418168;-4.472027;157.400000;
49578.000000;48.418167;-4.472028;157.600000;
49579.000000;48.418167;-4.472028;157.800000;
49580.000000;48.418165;-4.472028;158.100000;
49581.000000;48.418165;-4.472028;158.300000;
49582.000000;48.418163;-4.472028;158.500000;
49583.000000;48.418163;-4.472028;158.700000;
49584.000000;48.418162;-4.472028;158.800000;
49585.000000;48.418160;-4.472030;159.000000;
49586.000000;48.418160;-4.472030;159.200000;
49587.000000;48.418158;-4.472030;159.300000;
49588.000000;48.418157;-4.472030;159.400000;
49589.000000;48.418157;-4.472030;159.500000;
49590.000000;48.418157;-4.472030;159.600000;
49591.000000;48.418155;-4.472030;159.600000;
49592.000000;48.418155;-4.472030;159.600000;
49593.000000;48.418155;-4.472032;159.600000;
49594.000000;48.418155;-4.472030;159.600000;
49595.000000;48.418153;-4.472032;159.500000;
49596.000000;48.418153;-4.472032;159.400000;
49597.000000;48.418153;-4.472032;159.300000;
49598.000000;48.418155;-4.472032;159.200000;
49599.000000;48.418155;-4.472032;159.100000;
49600.000000;48.418155;-4.472032;158.900000;
49601.000000;48.418155;-4.472032;158.700000;
49602.000000;48.418155;-4.472032;158.500000;
49603.000000;48.418157;-4.472033;158.300000;
49604.000000;48.418160;-4.472035;157.900000;
49605.000000;48.418163;-4.472037;157.400000;
